quiz_id,enrollment_id,student_id,course_id,quiz_number,attempt_number,score,passed,attempt_date
QZ000001,ENR000001,STU00001,CRS038,1,1,76,true,2025-01-24
QZ000002,ENR000001,STU00001,CRS038,2,1,87,true,2025-01-19
QZ000003,ENR000001,STU00001,CRS038,3,1,62,false,2025-02-03
QZ000004,ENR000001,STU00001,CRS038,3,2,74,true,2025-01-13
QZ000005,ENR000001,STU00001,CRS038,4,1,40,false,2025-01-30
QZ000006,ENR000001,STU00001,CRS038,4,2,87,true,2025-02-05
QZ000007,ENR000001,STU00001,CRS038,5,1,97,true,2025-02-12
QZ000008,ENR000001,STU00001,CRS038,6,1,87,true,2025-02-11
QZ000009,ENR000003,STU00001,CRS022,1,1,88,true,2025-02-19
QZ000010,ENR000003,STU00001,CRS022,2,1,78,true,2025-02-15
QZ000011,ENR000003,STU00001,CRS022,3,1,77,true,2025-02-15
QZ000012,ENR000003,STU00001,CRS022,4,1,75,true,2025-02-07
QZ000013,ENR000003,STU00001,CRS022,5,1,91,true,2025-02-07
QZ000014,ENR000003,STU00001,CRS022,6,1,97,true,2025-02-18
QZ000015,ENR000004,STU00001,CRS033,1,1,80,true,2023-12-30
QZ000016,ENR000004,STU00001,CRS033,2,1,89,true,2024-01-29
QZ000017,ENR000004,STU00001,CRS033,3,1,84,true,2024-02-21
QZ000018,ENR000004,STU00001,CRS033,4,1,74,true,2024-02-25
QZ000019,ENR000004,STU00001,CRS033,4,2,88,true,2024-01-17
QZ000020,ENR000005,STU00001,CRS018,1,1,88,true,2025-01-20
QZ000021,ENR000005,STU00001,CRS018,2,1,86,true,2025-01-20
QZ000022,ENR000005,STU00001,CRS018,3,1,72,true,2025-01-20
QZ000023,ENR000005,STU00001,CRS018,4,1,75,true,2025-01-20
QZ000024,ENR000005,STU00001,CRS018,5,1,99,true,2025-01-25
QZ000025,ENR000005,STU00001,CRS018,6,1,97,true,2025-01-17
QZ000026,ENR000006,STU00001,CRS008,1,1,44,false,2025-02-19
QZ000027,ENR000009,STU00006,CRS004,1,1,63,false,2024-03-14
QZ000028,ENR000009,STU00006,CRS004,1,2,42,false,2024-01-20
QZ000029,ENR000009,STU00006,CRS004,2,1,47,false,2024-03-01
QZ000030,ENR000010,STU00006,CRS037,1,1,50,false,2024-09-01
QZ000031,ENR000010,STU00006,CRS037,1,2,95,true,2024-08-06
QZ000032,ENR000011,STU00006,CRS022,1,1,75,true,2024-06-09
QZ000033,ENR000011,STU00006,CRS022,1,2,70,true,2024-07-21
QZ000034,ENR000011,STU00006,CRS022,2,1,97,true,2024-02-16
QZ000035,ENR000011,STU00006,CRS022,3,1,76,true,2024-07-10
QZ000036,ENR000011,STU00006,CRS022,4,1,90,true,2024-02-12
