enrollment_id,student_id,course_id,enrolled_date,completion_date,completion_pct,certificate_issued,last_accessed
ENR000001,STU00001,CRS038,2024-12-28,2025-01-22,100,true,2025-02-12
ENR000002,STU00001,CRS010,2024-11-10,,7,false,2025-01-24
ENR000003,STU00001,CRS022,2025-01-30,2025-02-18,100,true,2025-02-19
ENR000004,STU00001,CRS033,2023-12-22,2024-02-18,100,true,2024-03-02
ENR000005,STU00001,CRS018,2025-01-16,2025-01-21,100,true,2025-01-27
ENR000006,STU00001,CRS008,2024-12-07,,82,false,2025-03-04
ENR000007,STU00002,CRS045,2023-07-19,,2,false,2024-06-12
ENR000008,STU00006,CRS033,2024-09-08,,7,false,2024-11-12
ENR000009,STU00006,CRS004,2024-01-14,,38,false,2024-08-07
ENR000010,STU00006,CRS037,2024-07-26,,55,false,2024-11-05
ENR000011,STU00006,CRS022,2024-01-17,2024-09-03,100,true,2024-09-15
ENR000012,STU00006,CRS019,2025-01-12,2025-03-07,100,true,2025-03-15
ENR000013,STU00006,CRS014,2024-03-30,2024-06-30,100,true,2024-07-25
ENR000014,STU00006,CRS026,2024-12-27,,26,false,2025-01-11
ENR000015,STU00006,CRS013,2024-11-03,,3,false,2025-03-11
ENR000016,STU00006,CRS038,2024-08-10,,8,false,2024-09-21
ENR000017,STU00006,CRS045,2024-09-13,,43,false,2025-01-03
ENR000018,STU00007,CRS024,2025-02-16,,40,false,2025-03-02
ENR000019,STU00008,CRS002,2024-07-23,,73,false,2024-11-21
ENR000020,STU00008,CRS042,2024-08-19,,36,false,2024-11-19
ENR000021,STU00009,CRS012,2024-08-31,,7,false,2025-02-05
ENR000022,STU00010,CRS010,2024-12-30,2025-01-23,100,true,2025-02-06
ENR000023,STU00010,CRS040,2024-02-16,,38,false,2025-01-26
ENR000024,STU00010,CRS045,2024-02-12,2024-10-29,100,true,2024-11-23
ENR000025,STU00011,CRS003,2024-03-24,,70,false,2024-07-04
ENR000026,STU00011,CRS004,2024-04-01,,71,false,2025-01-28
ENR000027,STU00011,CRS020,2023-12-13,,3,false,2025-02-22
ENR000028,STU00011,CRS024,2024-08-10,2024-12-15,100,true,2024-12-16
ENR000029,STU00011,CRS009,2023-04-01,,29,false,2024-08-14
